name, link
"Kim Komando Daily Tech Update", https://feeds.libsyn.com/115469/rss
"WSJ Tech News Briefing", https://video-api.wsj.com/podcast/rss/wsj/tech-news-briefing
"Gadget Lab", https://publicfeeds.net/f/5901/gadget-lab
"TechONTAPPodcast", https://feeds.soundcloud.com/users/soundcloud:users:164421460/sounds.rss
"Linux Out Loud", https://feeds.fireside.fm/dlnxtend/rss
"Late Night Linux Family All Episodes", https://latenightlinux.com/feed/all
"Destination Linux", https://destinationlinux.org/feed/mp3/
"LINUX Unplugged", https://feeds.fireside.fm/linuxunplugged/rss
"Enterprise Linux Security", https://enterpriselinuxsecurity.show/feed/podcast/
"Linux Dev Time", https://latenightlinux.com/feed/extra
"Linux in the Ham Shack", https://lhspodcast.info/category/podcast-mp3/feed/
"This Week in Linux", https://tuxdigital.com/feed/thisweekinlinux-mp3
"Linux Lads", https://linuxlads.com/feed_mp3.rss
"Untitled Linux Show (Audio)", https://feeds.twit.tv/uls.xml
"Syntax - Tasty Web Development Treats", https://feed.syntax.fm/rss
"JS Party: JavaScript, CSS, Web Development", https://changelog.com/jsparty/feed
"JavaScript Jabber", https://feeds.feedwrench.com/js-jabber.rss
"JavaScript Archives - Software Engineering Daily", https://softwareengineeringdaily.com/category/javascript/feed/
"Whiskey Web and Whatnot: HTML, CSS, and JavaScript Distilled", https://anchor.fm/s/e329dea0/podcast/rss
"The Real Python Podcast", https://realpython.com/podcasts/rpp/feed
"Python on Hardware", http://adafruit-podcasts.s3.amazonaws.com/python_on_hardware/podcast.xml
"Python Bytes", https://pythonbytes.fm/episodes/rss
"Sad Python Girls Club", https://anchor.fm/s/8f23717c/podcast/rss
"Coder Radio", https://coder.show/rss
"Accidental Tech Podcast", https://atp.fm/episodes?format=rss
"Tech News Weekly", https://feeds.twit.tv/tnw.xml
"TED Tech", https://feeds.feedburner.com/iTunesPodcastTTTechnolog
"Syntax", https://feed.syntax.fm/rss
"Huberman Lab", https://feeds.megaphone.fm/hubermanlab
"freeCodeCamp Podcast", https://freecodecamp.libsyn.com/rss
